Mes	Producto A	Producto B	Producto C	Producto D	Producto E
Ene/24	20	30	10	15	15
Feb/24	25	40	15	20	15
Mar/24	30	40	15	20	20
Abr/24	40	45	20	20	25
May/24	60	90	30	45	70
Jun/24	100	140	50	70	100
Jul/24	180	210	90	105	150
Ago/24	210	250	105	125	160
Sep/24	150	170	75	85	140
Oct/24	60	60	30	30	70
Nov/24	30	40	15	20	40
Dic/24	20	25	10	15	20
Ene/25	20	30	10	15	15
Feb/25	25	40	15	20	15
Mar/25	30	40	15	20	20
Abr/25	40	45	20	20	25
May/25	60	90	30	45	70
Jun/25	100	140	50	70	100
Jul/25	180	210	90	105	150
Ago/25	210	250	105	125	160
Sep/25	150	170	75	85	140
Oct/25	60	60	30	30	70
Nov/25	30	40	15	20	40
Dic/25	20	25	10	15	20
